"y1911" "y1912" "y1913" "y1914" "y1915" "y1916" "y1917" "y1918" "y1919" "y1920" "y1921" "y1922" "y1923" "y1924" "y1925" "y1926" "y1927" "y1928" "y1929" "y1930" "y1931" "y1932" "y1933" "y1934" "y1935" "y1936" "y1937" "y1938" "y1939" "y1940" "y1941" "y1942" "y1943" "y1944" "y1945" "y1946" "y1947" "y1948" "y1949" "y1950" "y1951" "y1952" "y1953" "y1954" "y1955" "y1956" "y1957" "y1958" "y1959" "y1960" "y1961" "y1962" "y1963" "y1964" "y1965" "y1966" "y1967" "y1968" "y1969" "y1970" "y1971" "y1972" "y1973" "y1974" "y1975" "y1976" "y1977" "y1978" "y1979" "y1980" "y1981" "y1982" "y1983" "y1984" "y1985" "y1986" "y1987" "y1988" "y1989" "y1990"
"Jan" 37.1 79 64.3 36.2 52.9 16.1 80.4 50.7 69.4 65.1 77.4 80.7 25 40.6 42.3 53.1 26.6 60.9 39.8 89.7 50.3 37.7 42.5 30.1 57.2 86.6 69.6 50.4 121.8 40.9 85.2 49.3 80.1 22.5 92.8 33.3 48 188 14.5 41.6 29.2 42.3 13.4 56.7 54 82.5 43.5 34.9 50.7 107.5 103.4 48.7 74.4 10.8 90.7 50.6 32.3 25.2 47.9 90.1 45.8 116 27.3 74.7 43.9 46.2 101 80.8 49.6 66.2 28.3 64.6 30.3 83.7 82 63.1 39.1 79.8 7.2 72.6
"Feb" 21.1 49.2 16.7 33.2 63.1 73.5 21.9 31.4 40.5 21.2 3.7 48.2 89.1 25.6 58.1 40.2 16.8 28.2 24.7 42.3 30.5 26.4 85.3 10.9 81.3 87.7 77.2 28.5 18.5 50.8 152.5 42.2 19.1 55.1 36.9 8.1 80.5 29.1 12.6 76.8 61.9 10.7 51.4 48 60.7 54.1 57.2 94.1 15.1 57.1 28.4 20.6 71.8 25 26.8 98.6 53 54.2 88.5 47.7 16.7 56 12.1 45.3 21.6 17.5 63.6 71.3 30.6 55.4 31.7 11.4 52.3 27.7 5.7 37.6 34.7 34.4 47.6 60.4
"Mar" 43.8 49 56 34.6 52.4 90.5 52.5 31.5 73.1 69 18.4 39.5 39.8 24.6 41.7 19.7 36.4 56.3 4.2 62.4 37.7 56.7 27.2 64.6 15.2 59.4 78.9 7.6 72.3 46.8 63.8 27.3 16.2 9.7 11.6 35.9 97.9 20.2 28.3 20.8 85.5 30.6 1.3 33.6 42.4 12.7 25.9 55.3 14.5 44.3 23.4 27.4 42.7 92.9 51.2 9.6 23.5 30.1 85.9 32.4 62 51.9 9.1 52.3 45 26 54.8 29.5 166 95.6 113.5 29.6 58.6 52.2 62.1 38.8 81.2 54.5 20.7 14.1
"Apr" 27.6 2.4 101.6 8.7 14.5 39.3 46.2 36.6 39.1 67.5 31.4 49.5 50.1 44.8 80.3 23 32.7 18.5 24.8 54.9 78.6 32.5 26.4 94 81.3 37 56.4 2.2 28.4 39.6 27 20.5 24.5 54.4 32.8 46 87.7 35.1 38.7 33.2 28.6 43.4 51 10.1 14.1 18.9 6.9 30.3 38.2 27.3 59.7 52.9 41.7 51.8 60.3 79.9 37.9 47.7 45.5 49.4 48.8 30.6 70.5 16.5 59.5 31.4 33 34.4 44.7 16.5 49.7 11.8 102.6 12.9 74.8 109.5 59.4 26 50.3 10.1
"May" 17.7 57.5 63.6 35.7 55.5 61.4 76.6 35.2 20.9 84 45.8 13.5 63.9 154 58.9 42.6 39.5 40.6 22.7 38.6 70.6 104.2 59.3 32.9 20.4 42.3 70.5 87 33.8 39.7 30.1 39.2 58.3 43.9 78.2 55.4 49.6 29.2 15.5 37.9 99.5 27 42.2 120 41.1 13.7 39.5 91.8 13.3 49.8 48.4 59 24.6 24.6 60.7 57 97.9 49.3 102 22.7 47.7 57.3 56.8 19.7 49.6 78.9 35.3 53.1 96.5 37.4 47.7 26.5 102.4 30.7 63.9 65.5 42.7 58 7.7 42.1
"Jun" 90.7 111.7 25.4 113.8 9.4 42 34.5 8.1 22.5 21.7 19.6 37.6 24.4 50.1 1.7 77.2 77 117.4 40.5 29.2 92 29.7 36.4 53.3 71.1 88.1 43.2 68.6 63 33.2 21.7 28.5 29.9 54.4 53.6 43.7 47.8 83.7 33 19.6 23 29.6 60.7 40.3 63.8 81.2 32.8 71.9 61.1 5.3 47.6 20.9 77.7 66.6 35.4 62.5 34.6 50.6 78 18.6 59 59.6 35.2 34.4 24.8 24.9 63.4 32.8 49.3 191.4 25.6 113.7 38.4 36.8 34.6 32.1 92.4 16.2 52.1 46.3
"Jul" 16.4 89.5 22.5 66.9 90.1 59.2 26.1 86.1 48.5 108.2 37.4 115.2 39.2 98.9 52.6 80.5 96.5 38.9 58.5 183.9 101.6 110.6 44.7 55.5 7.7 77 79.8 58.6 79 133.4 36.3 76.1 39.3 86.4 40.9 75.8 56.2 42.8 50.8 100.4 43.2 16 58.3 47 24.7 47.2 76.7 51.2 31.1 84.4 93.4 58.1 33.3 41.5 93.9 67.5 69.3 102.4 44.3 46.7 32.3 50.9 78.3 65.4 61.5 30 9.4 61.4 25.3 55.7 36.4 25.5 20.2 21.4 59.6 24.2 84.9 115.1 10.1 30.9
"Aug" 50.5 105.9 46.8 36.6 76.4 81.5 157 35.8 59.1 32.3 104.6 59.4 76 59 66.9 59.5 158.3 64.5 71.6 113.2 56.1 65.6 24.1 61.8 50.6 52.4 38 40.3 109 21.2 58.2 51.2 98.4 36.5 85.5 91.9 7.7 96.8 44.5 122.3 105.5 55.7 129.1 124.7 15.6 175.7 77.1 62.6 6.4 59.3 81.9 64 93.7 44 55 112.6 115.3 42.2 35.8 63.5 127.7 14.6 66.2 48.4 84.5 18.4 37.8 92.7 67.3 92.7 33.5 59.5 41.9 55.7 81.5 169.1 53.7 46 61.5 52.8
"Sep" 41.2 42.6 71.1 41.7 39 36.5 24.6 116.8 19.7 26.7 16.7 95.8 34.9 72.9 59.8 56.4 92.4 17.2 32.4 77.7 84.4 55.4 54.2 43 135.1 68.6 39.8 61 35 33 12.8 67.3 87.2 131.4 48.2 100.4 42.7 98.8 20 106.8 26.8 107.3 30.8 49.2 18.6 48.4 85.7 43.8 17.7 56.3 40.6 70.2 45.2 39.5 95.6 27.1 52.8 113.6 58.4 34.3 12.8 23.8 48.8 65.4 78.6 193.2 16.3 51.4 39.2 27 117.2 34.3 61.4 96.3 51.9 28 46.2 44.3 11.7 43.2
"Oct" 61.9 65.3 67.4 48.5 32.4 62.4 50.3 49.6 119.7 56 33 38 47.6 70 63.9 70.3 36.2 62.5 49.1 50 27 101.3 79 79.4 91.9 34.5 42.2 79.9 142.6 77.9 90.8 43.4 42.3 82.5 93.8 41.1 14 39.5 61.9 22.9 44.5 73.4 41.3 106.4 35.5 33.6 38 34.2 25 172.4 76.5 13.2 33.4 36.9 20.4 100.9 87 65 9.6 22.8 20.9 11.9 41 76.1 20.5 142.6 41.5 20.3 54.5 67.2 95 89.8 36.2 39.8 21.2 31 99.6 75.8 48.5 78.7
